destination,name,cost
Shimla,Mall Road Walk,500
Shimla,Visit Kufri,1500
Shimla,Jakhu Temple,200
Shimla,Shimla Ridge Cafe Hopping,800
Goa,Beach Party,2000
Goa,Dolphin Ride,1000
Goa,Fort Aguada Visit,300
Goa,Anjuna Flea Market,700
Jaipur,Amber Fort Tour,800
Jaipur,City Palace,500
Jaipur,Hawa Mahal Visit,400
Jaipur,Local Bazaar Shopping,600
Manali,Solang Valley Adventure,1800
Manali,Hidimba Devi Temple,200
Manali,Old Manali Cafe Tour,600
Manali,Rohtang Pass Trip,2500
Kerala,Backwater Houseboat,3000
Kerala,Tea Plantation Walk,700
Kerala,Kathakali Performance,500
Kerala,Beach Relaxation,1000
